icode,gbifdatasetid,harvestfolder
UF,832b8188-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2018-09-21/UF-herpetology
UF,eccf4b09-f0c8-462d-a48c-41a7ce36815a,vertnet-harvesting/data/2018-09-21/UF-ichthyology
